scaffold,R1,R2,R3,analogue_smiles
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,benzyl-4-methylpipirazyl,CC(C)c1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,benzylpipirazyl,CC(C)c1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,hydrogen,O=CNc1ccc(C2CC2)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,phenyl,O=C(Nc1ccc(C2CC2)c(Nc2ncccn2)c1)c1ccccc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,4-methylphenyl,Cc1ccc(C(=O)Nc2ccc(C3CC3)c(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,4-fluorophenyl,O=C(Nc1ccc(C2CC2)c(Nc2ncccn2)c1)c1ccc(F)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,4-chlorophenyl,O=C(Nc1ccc(C2CC2)c(Nc2ncccn2)c1)c1ccc(Cl)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,4-cyanophenyl,N#Cc1ccc(C(=O)Nc2ccc(C3CC3)c(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,2-methoxyphenyl,COc1ccccc1C(=O)Nc1ccc(C2CC2)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,2-carboxyphenyl,O=C(O)c1ccccc1C(=O)Nc1ccc(C2CC2)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,2-naphthyl,O=C(Nc1ccc(C2CC2)c(Nc2ncccn2)c1)c1ccc2ccccc2c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,"4,1'-biphenyl",O=C(Nc1ccc(C2CC2)c(Nc2ncccn2)c1)c1ccc(-c2ccccc2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,"3,1'-biphenyl",O=C(Nc1ccc(C2CC2)c(Nc2ncccn2)c1)c1cccc(-c2ccccc2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,benzyl-4-methylpipirazyl,CN1CCN(Cc2ccc(C(=O)Nc3ccc(C4CC4)c(Nc4ncccn4)c3)cc2)CC1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclopropyl,benzylpipirazyl,O=C(Nc1ccc(C2CC2)c(Nc2ncccn2)c1)c1ccc(CN2CCNCC2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,hydrogen,O=CNc1ccc(C2CCC2)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,phenyl,O=C(Nc1ccc(C2CCC2)c(Nc2ncccn2)c1)c1ccccc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,4-methylphenyl,Cc1ccc(C(=O)Nc2ccc(C3CCC3)c(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,4-fluorophenyl,O=C(Nc1ccc(C2CCC2)c(Nc2ncccn2)c1)c1ccc(F)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,4-chlorophenyl,O=C(Nc1ccc(C2CCC2)c(Nc2ncccn2)c1)c1ccc(Cl)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,4-cyanophenyl,N#Cc1ccc(C(=O)Nc2ccc(C3CCC3)c(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,2-methoxyphenyl,COc1ccccc1C(=O)Nc1ccc(C2CCC2)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,2-carboxyphenyl,O=C(O)c1ccccc1C(=O)Nc1ccc(C2CCC2)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,2-naphthyl,O=C(Nc1ccc(C2CCC2)c(Nc2ncccn2)c1)c1ccc2ccccc2c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,"4,1'-biphenyl",O=C(Nc1ccc(C2CCC2)c(Nc2ncccn2)c1)c1ccc(-c2ccccc2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,"3,1'-biphenyl",O=C(Nc1ccc(C2CCC2)c(Nc2ncccn2)c1)c1cccc(-c2ccccc2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,benzyl-4-methylpipirazyl,CN1CCN(Cc2ccc(C(=O)Nc3ccc(C4CCC4)c(Nc4ncccn4)c3)cc2)CC1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,cyclobutyl,benzylpipirazyl,O=C(Nc1ccc(C2CCC2)c(Nc2ncccn2)c1)c1ccc(CN2CCNCC2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,hydrogen,C=Cc1ccc(NC=O)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,phenyl,C=Cc1ccc(NC(=O)c2ccccc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,4-methylphenyl,C=Cc1ccc(NC(=O)c2ccc(C)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,4-fluorophenyl,C=Cc1ccc(NC(=O)c2ccc(F)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,4-chlorophenyl,C=Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,4-cyanophenyl,C=Cc1ccc(NC(=O)c2ccc(C#N)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,2-methoxyphenyl,C=Cc1ccc(NC(=O)c2ccccc2OC)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,2-carboxyphenyl,C=Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,2-naphthyl,C=Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,"4,1'-biphenyl",C=Cc1ccc(NC(=O)c2ccc(-c3ccccc3)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,"3,1'-biphenyl",C=Cc1ccc(NC(=O)c2cccc(-c3ccccc3)c2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,benzyl-4-methylpipirazyl,C=Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethenyl,benzylpipirazyl,C=Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,hydrogen,O=CNc1ccc(F)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,phenyl,O=C(Nc1ccc(F)c(Nc2ncccn2)c1)c1ccccc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,4-methylphenyl,Cc1ccc(C(=O)Nc2ccc(F)c(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,4-fluorophenyl,O=C(Nc1ccc(F)c(Nc2ncccn2)c1)c1ccc(F)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,4-chlorophenyl,O=C(Nc1ccc(F)c(Nc2ncccn2)c1)c1ccc(Cl)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,4-cyanophenyl,N#Cc1ccc(C(=O)Nc2ccc(F)c(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,2-methoxyphenyl,COc1ccccc1C(=O)Nc1ccc(F)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,2-carboxyphenyl,O=C(O)c1ccccc1C(=O)Nc1ccc(F)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,2-naphthyl,O=C(Nc1ccc(F)c(Nc2ncccn2)c1)c1ccc2ccccc2c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,"4,1'-biphenyl",O=C(Nc1ccc(F)c(Nc2ncccn2)c1)c1ccc(-c2ccccc2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,"3,1'-biphenyl",O=C(Nc1ccc(F)c(Nc2ncccn2)c1)c1cccc(-c2ccccc2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,benzyl-4-methylpipirazyl,CN1CCN(Cc2ccc(C(=O)Nc3ccc(F)c(Nc4ncccn4)c3)cc2)CC1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,fluoro,benzylpipirazyl,O=C(Nc1ccc(F)c(Nc2ncccn2)c1)c1ccc(CN2CCNCC2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,hydrogen,O=CNc1ccc(Cl)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,phenyl,O=C(Nc1ccc(Cl)c(Nc2ncccn2)c1)c1ccccc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,4-methylphenyl,Cc1ccc(C(=O)Nc2ccc(Cl)c(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,4-fluorophenyl,O=C(Nc1ccc(Cl)c(Nc2ncccn2)c1)c1ccc(F)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,4-chlorophenyl,O=C(Nc1ccc(Cl)c(Nc2ncccn2)c1)c1ccc(Cl)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,4-cyanophenyl,N#Cc1ccc(C(=O)Nc2ccc(Cl)c(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,2-methoxyphenyl,COc1ccccc1C(=O)Nc1ccc(Cl)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,2-carboxyphenyl,O=C(O)c1ccccc1C(=O)Nc1ccc(Cl)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,2-naphthyl,O=C(Nc1ccc(Cl)c(Nc2ncccn2)c1)c1ccc2ccccc2c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,"4,1'-biphenyl",O=C(Nc1ccc(Cl)c(Nc2ncccn2)c1)c1ccc(-c2ccccc2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,"3,1'-biphenyl",O=C(Nc1ccc(Cl)c(Nc2ncccn2)c1)c1cccc(-c2ccccc2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,benzyl-4-methylpipirazyl,CN1CCN(Cc2ccc(C(=O)Nc3ccc(Cl)c(Nc4ncccn4)c3)cc2)CC1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,chloro,benzylpipirazyl,O=C(Nc1ccc(Cl)c(Nc2ncccn2)c1)c1ccc(CN2CCNCC2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,hydrogen,O=CNc1ccc(Br)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,phenyl,O=C(Nc1ccc(Br)c(Nc2ncccn2)c1)c1ccccc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,4-methylphenyl,Cc1ccc(C(=O)Nc2ccc(Br)c(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,4-fluorophenyl,O=C(Nc1ccc(Br)c(Nc2ncccn2)c1)c1ccc(F)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,4-chlorophenyl,O=C(Nc1ccc(Br)c(Nc2ncccn2)c1)c1ccc(Cl)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,4-cyanophenyl,N#Cc1ccc(C(=O)Nc2ccc(Br)c(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,2-methoxyphenyl,COc1ccccc1C(=O)Nc1ccc(Br)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,2-carboxyphenyl,O=C(O)c1ccccc1C(=O)Nc1ccc(Br)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,2-naphthyl,O=C(Nc1ccc(Br)c(Nc2ncccn2)c1)c1ccc2ccccc2c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,"4,1'-biphenyl",O=C(Nc1ccc(Br)c(Nc2ncccn2)c1)c1ccc(-c2ccccc2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,"3,1'-biphenyl",O=C(Nc1ccc(Br)c(Nc2ncccn2)c1)c1cccc(-c2ccccc2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,benzyl-4-methylpipirazyl,CN1CCN(Cc2ccc(C(=O)Nc3ccc(Br)c(Nc4ncccn4)c3)cc2)CC1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,bromo,benzylpipirazyl,O=C(Nc1ccc(Br)c(Nc2ncccn2)c1)c1ccc(CN2CCNCC2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,iodo,hydrogen,O=CNc1ccc(I)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,iodo,phenyl,O=C(Nc1ccc(I)c(Nc2ncccn2)c1)c1ccccc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,iodo,4-methylphenyl,Cc1ccc(C(=O)Nc2ccc(I)c(Nc3ncccn3)c2)cc1
